node,page_rank,rank,comm,rank_comm
199,0.0013006381940882518,204,8,11
169,0.0012904358079122852,205,6,9
906,0.001287146759218185,206,43,5
635,0.0012845618379723558,207,27,12
16,0.0012631236952369022,208,1,6
1239,0.001262885611974648,209,91,1
1210,0.0012610568194596277,210,86,4
407,0.0012609178865889711,211,16,13
309,0.001256977300151529,212,13,10
413,0.0012508130976740686,213,16,14
292,0.0012486056823355956,214,12,21
933,0.001247835673638432,215,49,1
29,0.0012435004459486897,216,2,9
1282,0.0012432669996458932,217,92,5
160,0.0012371832813611648,218,6,10
608,0.0012365821964963795,219,27,13
390,0.001235655733191406,220,16,15
905,0.0012341052019002683,221,43,6
1037,0.0012322492497155461,222,59,1
895,0.0012247242592168775,223,43,7
1069,0.0012148681842065754,224,63,6
475,0.0012147587416436157,225,20,1
321,0.0012135498552716078,226,13,11
1098,0.0012108690813960126,227,65,1
473,0.0012088331944105487,228,19,6
1242,0.0012058477008506454,229,92,6
1288,0.00120304564777036,230,93,2
1112,0.0012029474285020544,231,67,1
422,0.0011987323250192354,232,16,16
440,0.0011984691725006984,233,17,4
450,0.0011984691725006982,234,17,5
340,0.0011897891101955633,235,15,3
707,0.0011856718012564905,236,32,2
485,0.0011840264815005525,237,21,6
927,0.0011821629992835867,238,46,3
1119,0.0011792719969904613,239,68,7
146,0.001171789353576713,240,6,11
377,0.0011694172509646508,241,16,17
1137,0.0011662930120206081,242,69,2
1213,0.0011623922762783756,243,86,5
300,0.0011546673414868929,244,13,12
498,0.0011476054414579228,245,21,7
592,0.0011408283578223707,246,26,5
455,0.0011388595994398438,247,19,7
299,0.0011360032507395448,248,13,13
890,0.0011351545643843988,249,43,8
758,0.0011246795783599916,250,34,5
166,0.001121466114911613,251,6,12
806,0.0011180676976732394,252,40,2
1027,0.0011174359062433813,253,58,5
441,0.0011158375300386277,254,17,6
1236,0.001114401168702038,255,90,1
121,0.0011131130298222415,256,3,13
956,0.0011130107212682782,257,51,3
545,0.001112728599587344,258,24,6
181,0.001111850784528126,259,8,12
330,0.0011062063410318674,260,13,14
489,0.001104182241704158,261,21,8
1143,0.0011007256032930263,262,70,1
686,0.0010996415028262688,263,29,1
1238,0.0010988600040708458,264,90,2
573,0.0010895308009936642,265,25,8
426,0.0010866727728944734,266,16,18
246,0.0010853595962081184,267,12,22
109,0.0010842979878894344,268,3,14
1001,0.0010821010261802308,269,54,1
736,0.001075889826911289,270,34,6
231,0.0010754351436553361,271,12,23
923,0.001069473698087493,272,46,4
1181,0.0010650122428156458,273,82,2
936,0.00106333501178026,274,49,2
1237,0.001063138473754961,275,90,3
1093,0.0010619853314726936,276,64,1
1224,0.0010606611639890746,277,87,1
