n_nodes,influence,communities,time,nodes
90.0,155.44,11,5,"[3376, 17, 4, 3718, 4649, 777, 988, 5225, 599, 1134, 184, 1524, 903, 829, 1119, 4627, 180, 482, 3833, 553, 4372, 1816, 546, 1914, 5746, 3978, 713, 899, 263, 740, 1545, 3922, 52, 4651, 1317, 214, 1086, 284, 558, 565, 2487, 5517, 1125, 643, 568, 545, 776, 734, 716, 1648, 1533, 1419, 524, 1302, 1600, 4367, 636, 410, 1138, 2957, 3671, 4298, 223, 22, 1307, 1311, 292, 550, 213, 1641, 44, 175, 694, 1342, 2242, 2370, 488, 2937, 709, 622, 1475, 848, 1873, 3538, 2142, 1120, 1759, 352, 1509, 239]"
33.0,60.08,10,4,"[3833, 17, 2510, 2072, 4351, 988, 3728, 976, 3949, 1093, 274, 538, 3156, 2281, 283, 1114, 3411, 1419, 734, 748, 5746, 740, 1593, 1648, 4367, 1877, 4952, 2035, 643, 777, 2955, 524, 87]"
25.0,57.17,5,5,"[1341, 17, 1190, 533, 1873, 230, 699, 513, 599, 3592, 184, 988, 524, 13, 4651, 546, 1545, 4627, 410, 5253, 263, 209, 1086, 606, 180]"
9.0,24.31,5,4,"[4064, 710, 3728, 1746, 778, 5342, 184, 988, 180]"
88.0,157.24,7,5,"[735, 1102, 599, 1119, 5169, 603, 869, 2648, 87, 634, 777, 1143, 3972, 3728, 1308, 184, 3156, 283, 1494, 2960, 1428, 748, 159, 988, 164, 3046, 636, 1648, 734, 284, 303, 1533, 1093, 1784, 514, 1793, 1122, 524, 1126, 715, 52, 1138, 558, 3277, 568, 740, 2274, 899, 172, 3833, 1600, 214, 565, 2487, 545, 4651, 716, 546, 776, 1545, 1317, 263, 1302, 410, 209, 1086, 606, 292, 175, 694, 1342, 488, 2242, 1475, 622, 1120, 2937, 2370, 848, 709, 2142, 724, 1873, 1759, 3538, 239, 352, 1509]"
22.0,49.69,5,4,"[735, 4627, 4102, 1746, 184, 778, 180, 1119, 513, 777, 599, 5225, 1134, 1524, 1781, 1100, 4372, 3833, 482, 988, 553, 1816]"
81.0,146.11,7,5,"[1341, 1190, 17, 533, 1873, 230, 699, 513, 599, 4651, 546, 184, 988, 3592, 1545, 4627, 524, 13, 1494, 690, 410, 283, 1093, 4367, 164, 1429, 875, 38, 180, 1308, 777, 3046, 748, 1528, 636, 159, 1793, 888, 1526, 740, 1600, 2960, 172, 1648, 2142, 488, 3087, 734, 2643, 1507, 1759, 2937, 352, 709, 2370, 962, 1509, 239, 3538, 568, 4298, 545, 1419, 2957, 1277, 143, 44, 1423, 914, 22, 1307, 1311, 292, 550, 5479, 223, 694, 1342, 2242, 213, 1641]"
60.0,115.24,6,5,"[735, 1102, 1119, 599, 5169, 603, 869, 2648, 3728, 87, 634, 777, 1143, 3972, 1308, 2303, 283, 184, 1428, 748, 159, 1494, 3046, 303, 2960, 988, 1594, 636, 1784, 514, 1126, 164, 5147, 1533, 899, 263, 643, 734, 1793, 1545, 2957, 568, 143, 776, 1277, 524, 1423, 410, 1302, 172, 565, 1600, 2487, 914, 1093, 4298, 223, 545, 740, 716]"
12.0,29.7,6,4,"[3376, 17, 4, 3718, 513, 143, 988, 778, 1100, 5628, 184, 1119]"
11.0,29.95,1,4,"[735, 1102, 1119, 533, 861, 230, 699, 513, 2817, 184, 988]"
