n_nodes,influence,communities,time,nodes,std
12.0,209.4,6,15,"[547, 1343, 785, 33, 191, 396, 1986, 778, 1165, 1807, 1167, 1419]",38.92826736447437
55.0,445.5,7,16,"[1664, 1911, 870, 1986, 396, 1448, 1931, 778, 1165, 1807, 1167, 145, 1419, 2053, 1839, 1531, 1433, 1818, 1561, 1563, 1821, 286, 1951, 674, 675, 680, 683, 45, 942, 177, 307, 313, 1338, 1342, 578, 1604, 1990, 1223, 1736, 72, 1222, 708, 588, 978, 1748, 1493, 472, 1112, 1241, 1243, 1072, 1639, 1896, 1255, 1630]",72.29861686090544
23.0,271.2,7,17,"[756, 33, 785, 1424, 1307, 1224, 778, 1165, 177, 1167, 1591, 535, 1419, 115, 1531, 1433, 1196, 862, 1887, 383, 1905, 1529, 97]",85.39841918911614
47.0,419.5,7,17,"[547, 33, 785, 1986, 396, 1931, 778, 1165, 1807, 1167, 1591, 535, 115, 1419, 1531, 1433, 1196, 862, 1887, 1577, 1181, 1905, 1396, 383, 1307, 1438, 415, 1319, 1834, 816, 364, 309, 1334, 1378, 1847, 1971, 850, 2035, 342, 1009, 508, 936, 464, 1998, 1449, 937, 861]",84.5825632148849
56.0,449.7,7,14,"[645, 1543, 263, 10, 2008, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 692, 1340, 319, 1472, 1728, 1350, 1354, 1615, 2001, 1874, 674, 675, 680, 1448, 748, 1181, 97, 2034, 1012, 249, 596, 1018, 827, 1108, 1909, 901, 774, 1288, 1029, 779, 1804, 269, 1089, 888, 1419, 1819, 1319, 1834, 816, 309, 1334, 850, 598]",80.68556252515069
2.0,53.7,2,9,"[201, 322]",40.689556399646335
27.0,297.1,7,16,"[547, 1343, 785, 191, 1339, 33, 396, 1378, 1847, 1165, 1807, 1167, 778, 1986, 1971, 850, 1419, 2035, 342, 1009, 508, 936, 464, 1998, 1449, 937, 861]",101.4012327341241
59.0,458.0,7,15,"[1664, 835, 1136, 1361, 1282, 364, 1331, 1378, 1307, 1342, 778, 1438, 1165, 1807, 1167, 1531, 145, 415, 935, 1839, 1029, 901, 1433, 1818, 1674, 1561, 1821, 286, 748, 1951, 674, 675, 2034, 1012, 97, 1018, 680, 1728, 1448, 1909, 596, 1056, 124, 774, 1108, 1288, 1659, 249, 779, 245, 1377, 751, 221, 1181, 827, 1804, 269, 788, 1947]",41.902267241761514
8.0,142.9,5,14,"[756, 1986, 1879, 33, 1307, 1224, 1989, 710]",52.19089958987102
23.0,272.7,6,18,"[547, 1343, 785, 1931, 1591, 33, 396, 535, 115, 1165, 1807, 1167, 778, 1226, 1433, 1196, 1419, 862, 1887, 383, 1905, 1529, 97]",60.43086959493468
7.0,115.5,6,13,"[1, 1489, 618, 950, 1969, 481, 1142]",66.74496235672022
39.0,375.7,7,15,"[547, 33, 785, 1986, 396, 1931, 778, 1165, 1807, 1167, 1591, 535, 1419, 115, 1531, 1433, 1196, 862, 1887, 383, 1905, 1396, 364, 1378, 1577, 1438, 415, 935, 936, 1449, 937, 1971, 1998, 464, 1009, 2035, 1811, 1738, 832]",88.9989325778686
66.0,479.4,7,17,"[645, 1543, 263, 10, 2008, 66, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 1654, 1340, 319, 692, 1728, 1350, 1354, 170, 2066, 97, 1712, 675, 680, 1448, 748, 1181, 2034, 1010, 249, 596, 1018, 827, 1108, 1909, 598, 1029, 389, 1947, 124, 751, 1377, 245, 800, 774, 901, 888, 1288, 779, 1804, 269, 1419, 1819, 1319, 1834, 816, 309, 1334, 1847, 850, 861, 862, 342]",60.7898840268675
41.0,383.9,7,20,"[1664, 1281, 652, 1361, 1331, 1755, 1147, 1342, 738, 16, 1449, 688, 335, 1191, 555, 732, 579, 312, 596, 75, 64, 1284, 641, 404, 285, 192, 1857, 1730, 1129, 122, 871, 365, 1904, 1528, 1916, 249, 381, 850, 309, 1334, 1847]",49.985998039451005
34.0,345.1,7,15,"[547, 1931, 33, 1986, 1591, 785, 535, 115, 396, 1531, 1433, 1165, 1807, 1167, 778, 1196, 862, 1887, 1577, 1419, 936, 930, 937, 1971, 1847, 1998, 464, 850, 342, 861, 1378, 1009, 2035, 508]",64.24204230875603
64.0,470.9,7,15,"[645, 1543, 263, 10, 2008, 66, 1052, 1309, 1182, 286, 1575, 811, 1330, 1869, 1654, 1340, 319, 692, 170, 1728, 1350, 1354, 2066, 97, 1712, 675, 680, 1448, 748, 1181, 2034, 1010, 596, 249, 1018, 827, 1108, 1909, 598, 1029, 389, 1947, 124, 751, 1377, 245, 800, 774, 901, 888, 1288, 779, 1804, 269, 1819, 1319, 1419, 1834, 816, 861, 850, 309, 1334, 1847]",53.24481195384204
21.0,266.2,6,17,"[547, 1986, 785, 33, 352, 396, 1591, 1931, 1165, 1807, 1167, 1197, 383, 778, 115, 1433, 1419, 862, 1887, 1196, 1905]",71.00626732901821
8.0,137.9,6,12,"[1, 1489, 1162, 950, 1969, 279, 687, 710]",39.80502480843342
14.0,212.6,7,18,"[547, 33, 1235, 1986, 1307, 1022, 1989, 710, 926, 1591, 1419, 1851, 1531, 1839]",87.77493947591192
